iter	Passed	Remaining
0	140	140233
1	141	70840
2	143	47671
3	146	36553
4	148	29603
5	150	24880
6	151	21502
7	153	18975
8	154	17015
9	155	15426
10	157	14131
11	158	13054
12	163	12417
13	165	11671
14	167	10986
15	168	10390
16	174	10109
17	180	9863
18	186	9627
19	188	9236
20	190	8869
21	191	8532
22	193	8218
23	195	7932
24	197	7685
25	203	7631
26	205	7397
27	206	7181
28	208	6996
29	210	6809
30	212	6636
31	221	6713
32	226	6624
33	230	6534
34	238	6573
35	241	6462
36	245	6402
37	248	6294
38	251	6196
39	252	6071
40	255	5969
41	257	5868
42	261	5824
43	264	5737
44	265	5639
45	267	5544
46	269	5462
47	274	5438
48	276	5363
49	278	5285
50	279	5204
51	281	5139
52	283	5067
53	291	5111
54	293	5048
55	296	4990
56	297	4929
57	300	4872
58	301	4812
59	303	4751
60	304	4693
61	306	4637
62	308	4581
63	309	4525
64	310	4473
65	312	4428
66	314	4379
67	316	4333
68	317	4287
69	319	4245
70	321	4202
71	322	4160
72	324	4118
73	326	4079
74	330	4077
75	332	4036
76	333	3994
77	334	3954
78	336	3917
79	337	3883
80	339	3847
81	341	3819
82	342	3782
83	344	3754
84	346	3724
85	347	3694
86	349	3665
87	350	3634
88	352	3604
89	353	3573
90	354	3545
91	356	3517
92	358	3496
93	359	3468
94	361	3441
95	363	3422
96	364	3397
97	366	3371
98	367	3346
99	369	3322
100	370	3299
101	374	3301
102	376	3279
103	377	3256
104	379	3235
105	381	3214
106	382	3191
107	383	3169
108	385	3147
109	391	3168
110	393	3150
111	394	3130
112	396	3109
113	397	3089
114	399	3070
115	400	3051
116	414	3129
117	417	3117
118	419	3104
119	420	3087
120	422	3070
121	423	3050
122	425	3031
123	426	3012
124	427	2994
125	430	2987
126	431	2968
127	433	2956
128	435	2939
129	436	2921
130	437	2904
131	439	2887
132	440	2871
133	441	2855
134	445	2852
135	447	2841
136	448	2826
137	450	2810
138	451	2795
139	452	2780
140	453	2765
141	454	2748
142	456	2733
143	457	2719
144	461	2723
145	463	2710
146	464	2696
147	466	2684
148	467	2670
149	469	2658
150	470	2644
151	471	2631
152	472	2618
153	476	2616
154	477	2603
155	478	2591
156	480	2578
157	481	2565
158	482	2553
159	484	2541
160	485	2527
161	486	2515
162	487	2503
163	491	2504
164	492	2493
165	493	2481
166	495	2471
167	496	2460
168	498	2449
169	499	2438
170	500	2428
171	502	2419
172	506	2422
173	508	2412
174	509	2402
175	510	2392
176	512	2381
177	513	2371
178	514	2361
179	516	2351
180	517	2341
181	519	2336
182	521	2328
183	523	2319
184	524	2310
185	525	2300
186	526	2290
187	528	2281
188	529	2272
189	531	2263
190	532	2255
191	534	2250
192	536	2242
193	537	2233
194	539	2226
195	540	2218
196	542	2211
197	543	2202
198	545	2194
199	550	2202
200	552	2196
201	554	2190
202	556	2184
203	558	2178
204	560	2171
205	561	2163
206	562	2155
207	565	2154
208	569	2153
209	570	2147
210	572	2140
211	573	2132
212	574	2124
213	576	2117
214	581	2122
215	583	2118
216	586	2115
217	588	2110
218	589	2102
219	590	2095
220	592	2087
221	596	2090
222	599	2087
223	600	2080
224	602	2074
225	603	2067
226	605	2061
227	606	2054
228	608	2047
229	610	2044
230	612	2038
231	613	2031
232	615	2024
233	616	2019
234	618	2014
235	621	2011
236	625	2013
237	628	2011
238	634	2021
239	636	2015
240	638	2010
241	640	2007
242	642	2000
243	643	1993
244	644	1987
245	647	1984
246	649	1980
247	653	1982
248	655	1977
249	659	1978
250	661	1973
251	662	1967
252	664	1961
253	665	1954
254	667	1950
255	670	1949
256	673	1945
257	676	1945
258	678	1941
259	680	1935
260	681	1929
261	685	1932
262	688	1930
263	690	1923
264	691	1917
265	692	1911
266	694	1906
267	695	1900
268	696	1893
269	700	1894
270	702	1890
271	704	1884
272	705	1878
273	707	1873
274	708	1868
275	710	1863
276	711	1857
277	717	1862
278	718	1856
279	720	1851
280	721	1846
281	723	1841
282	724	1836
283	726	1830
284	729	1829
285	731	1825
286	732	1819
287	733	1813
288	735	1808
289	736	1802
290	737	1797
291	738	1791
292	740	1786
293	741	1780
294	744	1778
295	745	1774
296	747	1768
297	748	1763
298	749	1758
299	751	1752
300	752	1747
301	753	1742
302	755	1737
303	756	1731
304	758	1729
305	760	1724
306	761	1719
307	763	1714
308	764	1710
309	765	1704
310	767	1699
311	768	1694
312	769	1689
313	771	1684
314	773	1683
315	776	1681
316	779	1678
317	781	1675
318	782	1670
319	783	1665
320	787	1666
321	792	1668
322	793	1663
323	795	1659
324	796	1654
325	797	1649
326	799	1645
327	800	1640
328	804	1641
329	806	1637
330	808	1634
331	810	1630
332	813	1629
333	815	1625
334	816	1620
335	817	1615
336	819	1611
337	820	1606
338	821	1602
339	823	1597
340	824	1593
341	826	1589
342	827	1585
343	829	1581
344	830	1576
345	831	1572
346	833	1567
347	834	1563
348	835	1558
349	836	1554
350	838	1549
351	839	1545
352	842	1544
353	844	1540
354	845	1536
355	847	1533
356	849	1529
357	851	1526
358	852	1522
359	853	1517
360	856	1515
361	858	1512
362	859	1508
363	861	1505
364	862	1501
365	865	1498
366	866	1495
367	868	1491
368	872	1492
369	874	1489
370	876	1486
371	877	1482
372	879	1479
373	881	1475
374	883	1472
375	886	1470
376	887	1467
377	889	1463
378	891	1459
379	892	1456
380	894	1453
381	895	1449
382	897	1445
383	898	1441
384	900	1438
385	903	1437
386	905	1434
387	907	1430
388	909	1427
389	910	1424
390	912	1420
391	913	1417
392	917	1417
393	919	1414
394	921	1410
395	922	1406
396	923	1402
397	924	1399
398	926	1395
399	927	1391
400	929	1387
401	930	1384
402	932	1381
403	933	1377
404	935	1373
405	936	1369
406	937	1365
407	938	1362
408	939	1358
409	941	1354
410	942	1350
411	943	1346
412	946	1345
413	948	1342
414	949	1338
415	951	1335
416	952	1331
417	953	1327
418	955	1324
419	956	1320
420	957	1317
421	959	1313
422	962	1312
423	963	1309
424	964	1305
425	966	1301
426	967	1298
427	968	1294
428	970	1291
429	971	1287
430	972	1284
431	974	1280
432	978	1281
433	981	1279
434	983	1277
435	985	1274
436	987	1272
437	990	1271
438	992	1268
439	994	1265
440	995	1262
441	997	1259
442	998	1255
443	1000	1252
444	1001	1248
445	1002	1245
446	1004	1242
447	1007	1241
448	1009	1238
449	1010	1235
450	1011	1231
451	1013	1228
452	1014	1224
453	1015	1221
454	1016	1218
455	1018	1214
456	1019	1211
457	1021	1208
458	1022	1205
459	1024	1202
460	1025	1199
461	1026	1195
462	1028	1192
463	1029	1189
464	1030	1185
465	1031	1182
466	1033	1179
467	1035	1176
468	1036	1173
469	1038	1170
470	1039	1167
471	1040	1164
472	1042	1161
473	1044	1158
474	1046	1157
475	1049	1155
476	1052	1154
477	1055	1152
478	1056	1149
479	1058	1146
480	1059	1143
481	1061	1140
482	1062	1137
483	1064	1134
484	1065	1131
485	1067	1128
486	1068	1125
487	1070	1122
488	1071	1120
489	1073	1117
490	1074	1113
491	1075	1110
492	1077	1107
493	1078	1105
494	1080	1102
495	1081	1099
496	1082	1096
497	1084	1092
498	1085	1089
499	1086	1086
500	1088	1083
501	1089	1080
502	1090	1077
503	1091	1074
504	1094	1072
505	1095	1069
506	1097	1066
507	1098	1063
508	1099	1060
509	1100	1057
510	1102	1054
511	1103	1051
512	1104	1048
513	1106	1045
514	1107	1042
515	1109	1040
516	1111	1038
517	1112	1035
518	1113	1032
519	1115	1029
520	1116	1026
521	1117	1023
522	1118	1020
523	1120	1017
524	1121	1014
525	1123	1012
526	1125	1010
527	1126	1007
528	1128	1004
529	1129	1001
530	1130	998
531	1131	995
532	1133	992
533	1134	990
534	1135	987
535	1137	984
536	1141	983
537	1142	981
538	1144	978
539	1145	976
540	1147	973
541	1148	970
542	1149	967
543	1151	965
544	1153	963
545	1155	960
546	1156	957
547	1157	955
548	1159	952
549	1160	949
550	1161	946
551	1163	944
552	1164	941
553	1165	938
554	1167	936
555	1169	933
556	1170	930
557	1171	928
558	1173	925
559	1174	922
560	1176	920
561	1177	917
562	1178	915
563	1180	912
564	1181	909
565	1183	907
566	1185	905
567	1186	902
568	1187	899
569	1188	896
570	1190	894
571	1191	891
572	1193	889
573	1194	886
574	1195	883
575	1198	882
576	1199	879
577	1201	877
578	1202	874
579	1203	871
580	1205	869
581	1206	866
582	1207	863
583	1209	861
584	1210	858
585	1212	856
586	1214	854
587	1215	851
588	1217	849
589	1218	846
590	1219	844
591	1221	841
592	1222	839
593	1223	836
594	1225	833
595	1227	832
596	1229	829
597	1230	827
598	1232	824
599	1233	822
600	1234	819
601	1236	817
602	1239	815
603	1241	813
604	1244	812
605	1249	812
606	1253	811
607	1254	808
608	1258	807
609	1259	805
610	1261	802
611	1262	800
612	1263	797
613	1265	795
614	1267	793
615	1268	790
616	1271	789
617	1279	790
618	1281	788
619	1284	787
620	1286	785
621	1289	783
622	1290	780
623	1292	778
624	1295	777
625	1297	775
626	1299	772
627	1304	772
628	1307	771
629	1310	769
630	1311	766
631	1312	764
632	1314	762
633	1315	759
634	1318	758
635	1320	755
636	1321	753
637	1323	750
638	1324	748
639	1326	746
640	1328	744
641	1332	743
642	1334	740
643	1338	739
644	1341	738
645	1343	736
646	1344	733
647	1346	731
648	1348	729
649	1349	726
650	1351	724
651	1352	722
652	1354	719
653	1355	717
654	1357	714
655	1358	712
656	1360	710
657	1363	708
658	1364	706
659	1366	703
660	1367	701
661	1369	699
662	1371	697
663	1373	695
664	1375	693
665	1381	692
666	1383	690
667	1384	688
668	1385	685
669	1386	683
670	1388	680
671	1389	678
672	1392	676
673	1394	674
674	1396	672
675	1397	669
676	1398	667
677	1400	665
678	1401	662
679	1402	660
680	1404	657
681	1406	655
682	1408	653
683	1410	651
684	1411	649
685	1412	646
686	1414	644
687	1415	642
688	1417	639
689	1418	637
690	1419	634
691	1422	633
692	1423	630
693	1425	628
694	1426	625
695	1427	623
696	1428	621
697	1430	618
698	1431	616
699	1432	614
700	1434	611
701	1437	610
702	1438	607
703	1440	605
704	1441	603
705	1442	600
706	1444	598
707	1445	596
708	1446	593
709	1448	591
710	1451	589
711	1453	587
712	1454	585
713	1455	583
714	1457	580
715	1458	578
716	1459	576
717	1460	573
718	1462	571
719	1463	569
720	1466	567
721	1467	565
722	1469	563
723	1471	560
724	1473	558
725	1475	556
726	1476	554
727	1478	552
728	1482	551
729	1484	549
730	1486	546
731	1488	544
732	1489	542
733	1490	540
734	1492	537
735	1493	535
736	1495	533
737	1498	531
738	1499	529
739	1501	527
740	1502	525
741	1504	522
742	1505	520
743	1507	518
744	1510	517
745	1513	515
746	1514	512
747	1515	510
748	1517	508
749	1518	506
750	1519	503
751	1521	501
752	1522	499
753	1526	498
754	1528	496
755	1530	494
756	1532	491
757	1533	489
758	1534	487
759	1536	485
760	1537	482
761	1541	481
762	1542	479
763	1543	476
764	1544	474
765	1546	472
766	1547	470
767	1548	467
768	1550	465
769	1551	463
770	1554	461
771	1556	459
772	1557	457
773	1559	455
774	1560	453
775	1561	450
776	1562	448
777	1564	446
778	1565	444
779	1567	441
780	1569	440
781	1570	437
782	1572	435
783	1573	433
784	1574	431
785	1576	429
786	1577	426
787	1578	424
788	1579	422
789	1581	420
790	1583	418
791	1585	416
792	1586	414
793	1587	411
794	1589	409
795	1590	407
796	1592	405
797	1593	403
798	1594	401
799	1596	399
800	1599	397
801	1600	395
802	1601	392
803	1603	390
804	1604	388
805	1605	386
806	1606	384
807	1608	382
808	1609	380
809	1610	377
810	1613	376
811	1615	373
812	1616	371
813	1617	369
814	1619	367
815	1620	365
816	1621	363
817	1622	361
818	1624	358
819	1625	356
820	1628	355
821	1630	353
822	1631	350
823	1632	348
824	1634	346
825	1635	344
826	1636	342
827	1638	340
828	1639	338
829	1640	336
830	1643	334
831	1644	332
832	1646	330
833	1647	327
834	1648	325
835	1650	323
836	1652	321
837	1654	319
838	1656	317
839	1658	315
840	1659	313
841	1661	311
842	1662	309
843	1663	307
844	1665	305
845	1666	303
846	1667	301
847	1669	299
848	1672	297
849	1673	295
850	1675	293
851	1676	291
852	1677	289
853	1679	287
854	1680	284
855	1681	282
856	1683	280
857	1684	278
858	1686	276
859	1688	274
860	1689	272
861	1691	270
862	1692	268
863	1693	266
864	1695	264
865	1696	262
866	1697	260
867	1698	258
868	1701	256
869	1702	254
870	1704	252
871	1705	250
872	1706	248
873	1708	246
874	1709	244
875	1710	242
876	1712	240
877	1713	238
878	1714	236
879	1716	234
880	1717	232
881	1719	230
882	1720	227
883	1721	225
884	1723	223
885	1724	221
886	1725	219
887	1727	217
888	1728	215
889	1731	213
890	1732	211
891	1734	209
892	1735	207
893	1736	205
894	1737	203
895	1739	201
896	1740	199
897	1741	197
898	1743	195
899	1744	193
900	1746	191
901	1747	189
902	1748	187
903	1749	185
904	1751	183
905	1752	181
906	1753	179
907	1754	177
908	1757	175
909	1759	174
910	1761	172
911	1762	170
912	1763	168
913	1764	166
914	1766	164
915	1767	162
916	1768	160
917	1770	158
918	1772	156
919	1774	154
920	1775	152
921	1777	150
